Tx,Age,Gender
7991684,0,Female
7892158,1,Female
7792681,2,Female
7693229,3,Female
7593795,4,Female
7494379,5,Female
7394975,6,Female
7295583,7,Female
7196206,8,Female
7096844,9,Female
6997493,10,Female
6898154,11,Female
6798825,12,Female
6699509,13,Female
6600210,14,Female
6500931,15,Female
6401675,16,Female
6302441,17,Female
6203230,18,Female
6104047,19,Female
6004890,20,Female
5905758,21,Female
5806650,22,Female
5707567,23,Female
5608509,24,Female
5509479,25,Female
5410474,26,Female
5311494,27,Female
5212542,28,Female
5113621,29,Female
5014736,30,Female
4915890,31,Female
4817085,32,Female
4718325,33,Female
4619611,34,Female
4520946,35,Female
4422339,36,Female
4323798,37,Female
4225322,38,Female
4126920,39,Female
4028610,40,Female
3930402,41,Female
3832310,42,Female
3734343,43,Female
3636509,44,Female
3538823,45,Female
3441306,46,Female
3343983,47,Female
3246872,48,Female
3150000,49,Female
3053397,50,Female
2957090,51,Female
2861118,52,Female
2765512,53,Female
2670297,54,Female
2575509,55,Female
2481183,56,Female
2387359,57,Female
2294086,58,Female
2201407,59,Female
2109364,60,Female
2018012,61,Female
1927414,62,Female
1837624,63,Female
1748682,64,Female
1660624,65,Female
1573514,66,Female
1487411,67,Female
1402360,68,Female
1318423,69,Female
1235686,70,Female
1154262,71,Female
1074258,72,Female
995781,73,Female
918966,74,Female
844006,75,Female
771103,76,Female
700453,77,Female
632253,78,Female
566743,79,Female
504184,80,Female
444819,81,Female
388880,82,Female
336605,83,Female
288228,84,Female
243909,85,Female
203797,86,Female
168018,87,Female
136515,88,Female
109115,89,Female
85734,90,Female
66093,91,Female
49808,92,Female
36679,93,Female
26378,94,Female
18526,95,Female
12711,96,Female
8485,97,Female
5504,98,Female
3466,99,Female
7148455,0,Male
7049023,1,Male
6949644,2,Male
6850296,3,Male
6750968,4,Male
6651653,5,Male
6552355,6,Male
6453075,7,Male
6353808,8,Male
6254557,9,Male
6155321,10,Male
6056101,11,Male
5956894,12,Male
5857703,13,Male
5758528,14,Male
5659376,15,Male
5560260,16,Male
5461185,17,Male
5362166,18,Male
5263229,19,Male
5164392,20,Male
5065664,21,Male
4967048,22,Male
4868542,23,Male
4770149,24,Male
4671862,25,Male
4573679,26,Male
4475604,27,Male
4377640,28,Male
4279786,29,Male
4182046,30,Male
4084434,31,Male
3986966,32,Male
3889647,33,Male
3792486,34,Male
3695496,35,Male
3598700,36,Male
3502106,37,Male
3405725,38,Male
3309588,39,Male
3213730,40,Male
3118176,41,Male
3022961,42,Male
2928126,43,Male
2833684,44,Male
2739657,45,Male
2646101,46,Male
2553060,47,Male
2460595,48,Male
2368772,49,Male
2277634,50,Male
2187252,51,Male
2097703,52,Male
2009038,53,Male
1921334,54,Male
1834668,55,Male
1749106,56,Male
1664725,57,Male
1581620,58,Male
1499894,59,Male
1419613,60,Male
1340848,61,Male
1263685,62,Male
1188201,63,Male
1114498,64,Male
1042626,65,Male
972687,66,Male
904742,67,Male
838801,68,Male
774955,69,Male
713321,70,Male
653995,71,Male
597031,72,Male
542495,73,Male
490461,74,Male
441007,75,Male
394206,76,Male
350097,77,Male
308738,78,Male
270214,79,Male
234558,80,Male
201794,81,Male
171957,82,Male
145032,83,Male
120966,84,Male
99705,85,Male
81129,86,Male
65099,87,Male
51521,88,Male
40175,89,Male
30844,90,Male
23272,91,Male
17157,92,Male
12359,93,Male
8714,94,Male
6041,95,Male
4124,96,Male
2752,97,Male
1794,98,Male
1142,99,Male
